Title,Year,Source,Authors,Class
Unsupervised Learning of Compositional Scene Representations from Multiple Unspecified Viewpoints,2022,AAAI,"Jinyang Yuan, Bin Li, Xiangyang Xue",MAIN TRACK
Cross-Task Knowledge Distillation in Multi-Task Recommendation,2022,AAAI,"Chenxiao Yang, Junwei Pan, Xiaofeng Gao, Tingyu Jiang, Dapeng Liu, Guihai Chen",MAIN TRACK
Online-Updated High-Order Collaborative Networks for Single Image Deraining,2022,AAAI,"Cong Wang, Jinshan Pan, Xiao-Ming Wu",MAIN TRACK
C3D and Localization Model for Locating and Recognizing the Actions from Untrimmed Videos (Student Abstract),2022,AAAI,"Himanshu Singh, Tirupati Pallewad, Badri Narayan Subudhi, Vinit Jakhetiya",STUDENT ABSTRACT AND POSTER PROGRAM
Can Semantic Labels Assist Self-Supervised Visual Representation Learning?,2022,AAAI,"Longhui Wei, Lingxi Xie, Jianzhong He, xiaopeng zhang, Qi Tian",MAIN TRACK
Multi-Agent Incentive Communication via Decentralized Teammate Modeling,2022,AAAI,"Lei Yuan, Jianhao Wang, Fuxiang Zhang, Chenghe Wang, Zongzhang Zhang, Yang Yu, Chongjie Zhang",MAIN TRACK
Multi-Relational Graph Representation Learning with Bayesian Gaussian Process Network,2022,AAAI,"Guanzheng Chen, Jinyuan Fang, Zaiqiao Meng, Qiang Zhang, Shangsong Liang",MAIN TRACK
Modification-Fair Cluster Editing,2022,AAAI,"Vincent Froese, Leon Kellerhals, Rolf Niedermeier",MAIN TRACK
The Complexity of Learning Approval-Based Multiwinner Voting Rules,2022,AAAI,"Ioannis Caragiannis, Karl Fehrs",MAIN TRACK
Two-Stage Octave Residual Network for End-to-End Image Compression,2022,AAAI,"Fangdong Chen, Yumeng Xu, Li Wang",MAIN TRACK
Meta Faster R-CNN: Towards Accurate Few-Shot Object Detection with Attentive Feature Alignment,2022,AAAI,"Guangxing Han, Shiyuan Huang, Jiawei Ma, Yicheng He, Shih-Fu Chang",MAIN TRACK
Path-Specific Objectives for Safer Agent Incentives,2022,AAAI,"Sebastian Farquhar, Ryan Carey, Tom Everitt",MAIN TRACK
Backdoor Attacks on the DNN Interpretation System,2022,AAAI,"Shihong Fang, Anna Choromanska",MAIN TRACK
